AddFirst Tests	Number of items	Time in NanoSeconds
Add First Doubly	1001	2404
Add First Doubly	2001	300
Add First Doubly	3001	300
Add First Doubly	4001	301
Add First Doubly	5001	301
Add First Doubly	6001	300
Add First Doubly	7001	301
Add First Doubly	8001	300
Add First Doubly	9001	300
Add First Doubly	10001	301
Add First Doubly	11001	0
Add First Doubly	12001	301
Add First Doubly	13001	0
Add First Doubly	14001	300
Add First Doubly	15001	0
Add First Doubly	16001	0
Add First Doubly	17001	0
Add First Doubly	18001	301
Add First Doubly	19001	0
Add First Doubly	20001	301
Add First Doubly	21001	300
Add First Doubly	22001	300
Add First Doubly	23001	300
Add First Doubly	24001	0
Add First Doubly	25001	300
Add First Doubly	26001	300
Add First Doubly	27001	301
Add First Doubly	28001	300
Add First Doubly	29001	0
Add First Doubly	30001	0
Add First Doubly	31001	0
Add First Doubly	32001	0
Add First Doubly	33001	0
Add First Doubly	34001	301
Add First Doubly	35001	300
Add First Doubly	36001	0
Add First Doubly	37001	0
Add First Doubly	38001	0
Add First Doubly	39001	0
Add First Doubly	40001	0
Add First Doubly	41001	0
Add First Doubly	42001	301
Add First Doubly	43001	301
Add First Doubly	44001	300
Add First Doubly	45001	0
Add First Doubly	46001	0
Add First Doubly	47001	0
Add First Doubly	48001	301
Add First Doubly	49001	300
Add First Doubly	50001	0
Add First Doubly	51001	0
Add First Doubly	52001	0
Add First Doubly	53001	0
Add First Doubly	54001	0
Add First Doubly	55001	0
Add First Doubly	56001	300
Add First Doubly	57001	300
Add First Doubly	58001	0
Add First Doubly	59001	301
Add First Doubly	60001	0
Add First Doubly	61001	301
Add First Doubly	62001	0
Add First Doubly	63001	0
Add First Doubly	64001	0
Add First Doubly	65001	0
Add First Doubly	66001	0
Add First Doubly	67001	0
Add First Doubly	68001	0
Add First Doubly	69001	301
Add First Doubly	70001	300
Add First Doubly	71001	0
Add First Doubly	72001	0
Add First Doubly	73001	301
Add First Doubly	74001	301
Add First Doubly	75001	0
Add First Doubly	76001	0
Add First Doubly	77001	300
Add First Doubly	78001	0
Add First Doubly	79001	300
Add First Doubly	80001	0
Add First Doubly	81001	301
Add First Doubly	82001	0
Add First Doubly	83001	0
Add First Doubly	84001	0
Add First Doubly	85001	301
Add First Doubly	86001	3607
Add First Doubly	87001	300
Add First Doubly	88001	0
Add First Doubly	89001	0
Add First Doubly	90001	0
Add First Doubly	91001	0
Add First Doubly	92001	300
Add First Doubly	93001	300
Add First Doubly	94001	0
Add First Doubly	95001	0
Add First Doubly	96001	0
Add First Doubly	97001	300
Add First Doubly	98001	0
Add First Doubly	99001	0
Add First Doubly	100001	301
Add First arrayList	1001	9919
Add First arrayList	2001	1503
Add First arrayList	3001	3306
Add First arrayList	4001	902
Add First arrayList	5001	1202
Add First arrayList	6001	1503
Add First arrayList	7001	1804
Add First arrayList	8001	9017
Add First arrayList	9001	12924
Add First arrayList	10001	2705
Add First arrayList	11001	2705
Add First arrayList	12001	3006
Add First arrayList	13001	3306
Add First arrayList	14001	3306
Add First arrayList	15001	3907
Add First arrayList	16001	4207
Add First arrayList	17001	4508
Add First arrayList	18001	5110
Add First arrayList	19001	5410
Add First arrayList	20001	6011
Add First arrayList	21001	6311
Add First arrayList	22001	6913
Add First arrayList	23001	7514
Add First arrayList	24001	7815
Add First arrayList	25001	8416
Add First arrayList	26001	20738
Add First arrayList	27001	9017
Add First arrayList	28001	9318
Add First arrayList	29001	9618
Add First arrayList	30001	9919
Add First arrayList	31001	10520
Add First arrayList	32001	10820
Add First arrayList	33001	10821
Add First arrayList	34001	11120
Add First arrayList	35001	12022
Add First arrayList	36001	18334
Add First arrayList	37001	12624
Add First arrayList	38001	12924
Add First arrayList	39001	12924
Add First arrayList	40001	13225
Add First arrayList	41001	13525
Add First arrayList	42001	13525
Add First arrayList	43001	13826
Add First arrayList	44001	14727
Add First arrayList	45001	14727
Add First arrayList	46001	15028
Add First arrayList	47001	15329
Add First arrayList	48001	15930
Add First arrayList	49001	15930
Add First arrayList	50001	16831
Add First arrayList	51001	16831
Add First arrayList	52001	17132
Add First arrayList	53001	17432
Add First arrayList	54001	18033
Add First arrayList	55001	18334
Add First arrayList	56001	18635
Add First arrayList	57001	18634
Add First arrayList	58001	19236
Add First arrayList	59001	19236
Add First arrayList	60001	20138
Add First arrayList	61001	20138
Add First arrayList	62001	20137
Add First arrayList	63001	21039
Add First arrayList	64001	21340
Add First arrayList	65001	21641
Add First arrayList	66001	21941
Add First arrayList	67001	22241
Add First arrayList	68001	22542
Add First arrayList	69001	22542
Add First arrayList	70001	22842
Add First arrayList	71001	23444
Add First arrayList	72001	23444
Add First arrayList	73001	23744
Add First arrayList	74001	24044
Add First arrayList	75001	24346
Add First arrayList	76001	24946
Add First arrayList	77001	540110
Add First arrayList	78001	25248
Add First arrayList	79001	25548
Add First arrayList	80001	26149
Add First arrayList	81001	26149
Add First arrayList	82001	27050
Add First arrayList	83001	27051
Add First arrayList	84001	27351
Add First arrayList	85001	27652
Add First arrayList	86001	28854
Add First arrayList	87001	28854
Add First arrayList	88001	28854
Add First arrayList	89001	28854
Add First arrayList	90001	29456
Add First arrayList	91001	29756
Add First arrayList	92001	29755
Add First arrayList	93001	30056
Add First arrayList	94001	30357
Add First arrayList	95001	30958
Add First arrayList	96001	31259
Add First arrayList	97001	31559
Add First arrayList	98001	31860
Add First arrayList	99001	32161
Add First arrayList	100001	32460
